Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01 00:00:00+05:30,0.5236387099835297,0.5247967839241028,0.5210657402123923,0.5247967839241028,204800,0.0,0.0
1996-01-02 00:00:00+05:30,0.523638769437907,0.526212446242436,0.5226743817329407,0.5226743817329407,204800,0.0,0.0
1996-01-03 00:00:00+05:30,0.5262123346328735,0.5262123346328735,0.5262123346328735,0.5262123346328735,102400,0.0,0.0
1996-01-04 00:00:00+05:30,0.5210657748125544,0.5236387447545441,0.5210657748125544,0.5227382779121399,307200,0.0,0.0
1996-01-05 00:00:00+05:30,0.5165626406669617,0.5165626406669617,0.5165626406669617,0.5165626406669617,51200,0.0,0.0
1996-01-08 00:00:00+05:30,0.5165628277896124,0.5210659487730462,0.5172064336764416,0.5197794437408447,358400,0.0,0.0
1996-01-09 00:00:00+05:30,0.5197792718030264,0.514633253376472,0.5082001021288584,0.5139896869659424,870400,0.0,0.0
1996-01-10 00:00:00+05:30,0.5139895155727361,0.5107729410215173,0.5081999326662268,0.5094864368438721,358400,0.0,0.0
1996-01-11 00:00:00+05:30,0.5133459590904654,0.5210656523704529,0.5094864854526951,0.5210656523704529,819200,0.0,0.0
1996-01-12 00:00:00+05:30,0.5184926798911371,0.5184926798911371,0.5146331667210969,0.5181711912155151,358400,0.0,0.0
1996-01-15 00:00:00+05:30,0.5114166570214271,0.5172062416238195,0.5114166570214271,0.5123816728591919,307200,0.0,0.0
1996-01-16 00:00:00+05:30,0.5123816192906815,0.5146331787109375,0.4696023829397745,0.5146331787109375,358400,0.0,0.0
1996-01-17 00:00:00+05:30,0.5146333061625181,0.5159198109011137,0.5082001542550547,0.5097442269325256,768000,0.0,0.0
1996-01-18 00:00:00+05:30,0.5097442893883855,0.5114167928695679,0.5069137116255054,0.5114167928695679,204800,0.0,0.0
1996-01-19 00:00:00+05:30,0.5081999820129454,0.5081999820129454,0.5059484227981906,0.5062698721885681,512000,0.0,0.0
1996-01-22 00:00:00+05:30,0.5082002165217286,0.5114167928695679,0.5082002165217286,0.5114167928695679,204800,0.0,0.0
1996-01-23 00:00:00+05:30,0.5056269228134281,0.5146330802444827,0.5056269228134281,0.5098078846931458,665600,0.0,0.0
1996-01-24 00:00:00+05:30,0.5098079380665809,0.5075563788414001,0.49597721185041516,0.5075563788414001,409600,0.0,0.0
1996-01-25 00:00:00+05:30,0.5078787359353478,0.5078787359353478,0.5056272149085999,0.5056272149085999,102400,0.0,0.0
1996-01-26 00:00:00+05:30,0.5056272149085999,0.5056272149085999,0.5056272149085999,0.5056272149085999,0,0.0,0.0
1996-01-29 00:00:00+05:30,0.5043405406875586,0.5043405406875586,0.5027319192886353,0.5027319192886353,102400,0.0,0.0
1996-01-30 00:00:00+05:30,0.502732029245158,0.5107731748286388,0.5082001652955497,0.5088430643081665,1433600,0.0,0.0
1996-01-31 00:00:00+05:30,0.5088429272361099,0.5146331787109375,0.5056270195567049,0.5146331787109375,460800,0.0,0.0
1996-02-01 00:00:00+05:30,0.5146331029314923,0.5339312553405762,0.5146331029314923,0.5339312553405762,819200,0.0,0.0
1996-02-02 00:00:00+05:30,0.5339313292422382,0.5532301518001069,0.5339313292422382,0.5531662702560425,2355200,0.0,0.0
1996-02-05 00:00:00+05:30,0.5531662848894873,0.5545166708778896,0.5404290820813098,0.5532301664352417,819200,0.0,0.0
1996-02-06 00:00:00+05:30,0.5532301450401271,0.5821787318937616,0.5532301450401271,0.5660964846611023,1382400,0.0,0.0
1996-02-07 00:00:00+05:30,0.5660963404751724,0.5558036797392601,0.5493705311990065,0.5510430335998535,972800,0.0,0.0
1996-02-08 00:00:00+05:30,0.5596633736749601,0.5853946805000305,0.5596633736749601,0.5853946805000305,768000,0.0,0.0
1996-02-09 00:00:00+05:30,0.5853945626989134,0.6111265710869918,0.5467975905966208,0.607716977596283,1382400,0.0,0.0
1996-02-12 00:00:00+05:30,0.6077171420147411,0.6162727154531764,0.598261062491871,0.6008340716362,819200,0.0,0.0
1996-02-13 00:00:00+05:30,0.6175598398474469,0.6304255127906799,0.6175598398474469,0.6304255127906799,2048000,0.0,0.0
1996-02-14 00:00:00+05:30,0.6304255890307046,0.6593734744439602,0.6265654076674607,0.6542274951934814,972800,0.0,0.0
1996-02-15 00:00:00+05:30,0.6542273915047894,0.6625899843716714,0.630425489114383,0.6604030132293701,2201600,0.0,0.0
1996-02-16 00:00:00+05:30,0.6604030368767086,0.6690231586648648,0.6358936072175825,0.6622685194015503,2764800,0.0,0.0
1996-02-19 00:00:00+05:30,0.6622687680608226,0.6497245791259425,0.647150901740587,0.6485665440559387,1024000,0.0,0.0
